LigandID,CAS or NOCAS-number,TC TPO inhibition activity,Presence in test set marked with *,canonical_smiles
train862,1111147-38-1,Inactive,,CCCOc1sc(C(=O)N2CCC(c3cc(CN)ccc3F)CC2)c(C)c1Br
test264,127-25-3,Inactive,*,COC(=O)C1(C)CCCC2(C)C3CCC(C(C)C)=CC3=CCC12
train601,34590-94-8,Inactive,,CCC(O)OCCCOC
train833,625114-41-2,Inactive,,CS(=O)(=O)c1ccc(C(CC2CCC(=O)C2)C(=O)Nc2cnccn2)cc1Cl
train122,89-83-8,Inactive,,Cc1ccc(C(C)C)c(O)c1
train496,2835-95-2,Active,,Cc1ccc(N)cc1O
train14,52-51-7,Inactive,,O=[N+]([O-])C(Br)(CO)CO
train545,12427-38-2,Active,,S=C(S)NCCNC(=S)S
train80,77-90-7,Inactive,,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
test205,112-35-6,Inactive,*,COCCOCCOCCO
train661,74115-24-5,Inactive,,Clc1ccccc1-c1nnc(-c2ccccc2Cl)nn1
train858,1111147-34-6,Active,,N#CC1CC(F)(F)CN1C(=O)CNC1CC2CCC(C1)N2c1ncccn1
train408,621-64-7,Inactive,,CCCN(CCC)N=O
train735,123122-55-4,Inactive,,COCCOCC(CC1(C(=O)NC2CCC(C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2
test244,123-11-5,Inactive,*,COc1ccc(C=O)cc1
test485,4707-47-5,Active,*,COC(=O)c1c(C)cc(O)c(C)c1O
test480,4344-55-2,Active,*,CCCCOc1ccc(N)cc1
test490,5331-91-9,Active,*,Sc1nc2cc(Cl)ccc2s1
test95,94-47-3,Inactive,*,O=C(OCCc1ccccc1)c1ccccc1
train501,3147-75-9,Inactive,,CC(C)(C)CC(C)(C)c1ccc(O)c(N2Nc3ccccc3N2)c1
train190,101-55-3,Inactive,,Brc1ccc(Oc2ccccc2)cc1
train396,553-26-4,Inactive,,c1cc(-c2ccncc2)ccn1
train121,89-72-5,Inactive,,CCC(C)c1ccccc1O
test552,18172-67-3,Inactive,*,C=C1CCC2CC1C2(C)C
train442,1120-36-1,Inactive,,C=CCCCCCCCCCCCC
train558,19666-30-9,Inactive,,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl
train829,478263-98-8,Inactive,,CCC(NC(=O)c1cc(F)ccc1NS(=O)(=O)c1cccc2cccnc12)c1ccccc1
train575,24602-86-6,Inactive,,CCCCCCCCCCCCCN1CC(C)OC(C)C1
train838,742693-38-5,Inactive,,O=C(NC(c1ccccc1)C1CCCCN1)c1cccc(C(F)(F)F)c1Cl
test224,119-64-2,Inactive,*,c1ccc2c(c1)CCCC2
