LigandID,CAS or NOCAS-number,TC TPO inhibition activity,Presence in test set marked with *,canonical_smiles
train299,120-61-6,Inactive,,COC(=O)c1ccc(C(=O)OC)cc1
train300,120-71-8,Active,,COc1ccc(C)cc1N
train301,120-80-9,Active,,Oc1ccccc1O
train302,120-82-1,Inactive,,Clc1ccc(Cl)c(Cl)c1
train303,120-83-2,Inactive,,Oc1ccc(Cl)cc1Cl
train304,121-00-6,Active,,COc1ccc(O)c(C(C)(C)C)c1
train305,121-14-2,Inactive,,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
train306,121-33-5,Inactive,,COc1cc(C=O)ccc1O
train307,121-69-7,Active,,CN(C)c1ccccc1
train308,121-75-5,Active,,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
train309,121-79-9,Active,,CCCOC(=O)c1cc(O)c(O)c(O)c1
train310,121-91-5,Inactive,,O=C(O)c1cccc(C(=O)O)c1
train311,122-14-5,Active,,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
train312,122-34-9,Inactive,,CCNc1nc(Cl)nc(NCC)n1
train313,122-39-4,Inactive,,c1ccc(Nc2ccccc2)cc1
train314,122-62-3,Inactive,,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC
train315,122-66-7,Inactive,,c1ccc(NNc2ccccc2)cc1
train316,122-99-6,Inactive,,OCCOc1ccccc1
train317,123-01-3,Inactive,,CCCCCCCCCCCCc1ccccc1
train318,123-25-1,Inactive,,CCOC(=O)CCC(=O)OCC
train319,123-31-9,Active,,Oc1ccc(O)cc1
train320,123-33-1,Inactive,,O=c1ccc(=O)[nH][nH]1
train321,123-35-3,Inactive,,C=CC(=C)CCC=C(C)C
train322,123-42-2,Inactive,,CC(=O)CC(C)(C)O
train323,123-51-3,Inactive,,CC(C)CCO
train324,124-04-9,Inactive,,O=C(O)CCCCC(=O)O
train325,124-13-0,Inactive,,CCCCCCCC=O
train326,124-18-5,Inactive,,CCCCCCCCCC
train327,124-94-7,Inactive,,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F
train328,126-11-4,Inactive,,O=[N+]([O-])C(CO)(CO)CO
train329,126-14-7,Inactive,,CC(=O)OCC1OC(OC2(COC(C)=O)OC(COC(C)=O)C(OC(C)=O)C2OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O
train330,126-73-8,Inactive,,CCCCOP(=O)(OCCCC)OCCCC
train331,126-86-3,Inactive,,CC(C)CC(C)(O)C#CC(C)(O)CC(C)C
train332,127-51-5,Inactive,,CC(=O)C(C)=CC1C(C)=CCCC1(C)C
train333,129-00-0,Inactive,,c1cc2ccc3cccc4ccc(c1)c2c34
train334,131-11-3,Inactive,,COC(=O)c1ccccc1C(=O)OC
train335,131-17-9,Inactive,,C=CCOC(=O)c1ccccc1C(=O)OCC=C
train336,131-18-0,Inactive,,CCCCCOC(=O)c1ccccc1C(=O)OCCCCC
train337,131-55-5,Active,,O=C(c1ccc(O)cc1O)c1ccc(O)cc1O
train338,131-70-4,Inactive,,CCCCOC(=O)c1ccccc1C(=O)O
train339,132-64-9,Inactive,,c1ccc2c(c1)oc1ccccc12
train340,133-06-2,Inactive,,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl
train341,133-90-4,Active,,Nc1cc(Cl)cc(C(=O)O)c1Cl
train342,134-20-3,Active,,COC(=O)c1ccccc1N
train343,134-62-3,Inactive,,CCN(CC)C(=O)c1cccc(C)c1
train344,135-19-3,Active,,Oc1ccc2ccccc2c1
train345,136-45-8,Inactive,,CCCOC(=O)c1ccc(C(=O)OCCC)nc1
train346,136-60-7,Inactive,,CCCCOC(=O)c1ccccc1
train347,136-77-6,Active,,CCCCCCc1ccc(O)cc1O
train348,139-13-9,Inactive,,O=C(O)CN(CC(=O)O)CC(=O)O
train349,139-40-2,Inactive,,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
train350,140-56-7,Active,,CCC1CO1
train351,140-64-7,Inactive,,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
train352,141-04-8,Inactive,,CCCCCCCCCCCCCCCCCC(=O)O
train353,141-43-5,Inactive,,NCCO
train354,141-66-2,Inactive,,COP(=O)(OC)OC(C)=CC(=O)N(C)C
train355,142-04-1,Active,,Nc1ccccc1
train356,142-62-1,Inactive,,CCCCCC(=O)O
train357,143-50-0,Inactive,,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
train358,145-73-3,Inactive,,O=C(O)C1C2CCC(O2)C1C(=O)O
train359,147-24-0,Inactive,,CN(C)CCOC(c1ccccc1)c1ccccc1
train360,148-79-8,Inactive,,c1ccc2[nH]c(-c3cscn3)nc2c1
train361,149-30-4,Active,,Sc1nc2ccccc2s1
train362,149-57-5,Inactive,,CCCCCCCC(=O)O
train363,150-13-0,Active,,Nc1ccc(C(=O)O)cc1
train364,150-68-5,Active,,CN(C)C(=O)Nc1ccc(Cl)cc1
train365,156-60-5,Inactive,,ClC=CCl
train366,205-99-2,Inactive,,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
train367,206-44-0,Inactive,,c1ccc2c(c1)-c1cccc3cccc-2c13
train368,208-96-8,Inactive,,C1=Cc2cccc3cccc1c23
train369,271-89-6,Inactive,,c1ccc2occc2c1
